Emotions,Paths
sad,./datasets/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
angry,./datasets/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
angry,./datasets/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
angry,./datasets/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
angry,./datasets/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
angry,./datasets/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
angry,./datasets/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
angry,./datasets/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
angry,./datasets/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
fear,./datasets/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
fear,./datasets/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
fear,./datasets/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
fear,./datasets/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
fear,./datasets/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
fear,./datasets/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
fear,./datasets/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
fear,./datasets/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-02-01.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-01-01.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-02-01.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-01-01.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-02-01.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-01-01.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-01-01.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-01-01.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-02-01.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-01-01.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-02-01.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-01-02.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-02-02.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-01-02.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-02-02.wav
calm,./datasets/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-01-02.wav
calm,./datasets/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-02-02.wav
calm,./datasets/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-01-02.wav
calm,./datasets/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-02-02.wav
calm,./datasets/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-01-02.wav
calm,./datasets/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-02-02.wav
calm,./datasets/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-01-02.wav
calm,./datasets/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-02-02.wav
happy,./datasets/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-01-02.wav
happy,./datasets/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-02-02.wav
happy,./datasets/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-01-02.wav
happy,./datasets/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-02-02.wav
happy,./datasets/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-01-02.wav
happy,./datasets/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-02-02.wav
happy,./datasets/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-01-02.wav
happy,./datasets/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-02-02.wav
sad,./datasets/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-01-02.wav
sad,./datasets/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-02-02.wav
sad,./datasets/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-01-02.wav
sad,./datasets/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-02-02.wav
sad,./datasets/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-01-02.wav
sad,./datasets/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-02-02.wav
sad,./datasets/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-01-02.wav
sad,./datasets/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-02-02.wav
angry,./datasets/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-01-02.wav
angry,./datasets/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-02-02.wav
angry,./datasets/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-01-02.wav
angry,./datasets/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-02-02.wav
angry,./datasets/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-01-02.wav
angry,./datasets/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-02-02.wav
angry,./datasets/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-01-02.wav
angry,./datasets/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-02-02.wav
fear,./datasets/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-01-02.wav
fear,./datasets/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-02-02.wav
fear,./datasets/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-01-02.wav
fear,./datasets/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-02-02.wav
fear,./datasets/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-01-02.wav
fear,./datasets/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-02-02.wav
fear,./datasets/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-01-02.wav
fear,./datasets/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-02-02.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-01-02.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-02-02.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-01-02.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-02-02.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-01-02.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-02-02.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-01-02.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-02-02.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-01-02.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-02-02.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-01-02.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-02-02.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-01-02.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-02-02.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-01-02.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-02-02.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-01-03.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-02-03.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-01-03.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-02-03.wav
calm,./datasets/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-01-03.wav
calm,./datasets/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-02-03.wav
calm,./datasets/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-01-03.wav
calm,./datasets/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-02-03.wav
calm,./datasets/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-01-03.wav
calm,./datasets/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-02-03.wav
calm,./datasets/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-01-03.wav
calm,./datasets/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-02-03.wav
happy,./datasets/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-01-03.wav
happy,./datasets/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-02-03.wav
happy,./datasets/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-01-03.wav
happy,./datasets/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-02-03.wav
happy,./datasets/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-01-03.wav
happy,./datasets/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-02-03.wav
happy,./datasets/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-01-03.wav
happy,./datasets/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-02-03.wav
sad,./datasets/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-01-03.wav
sad,./datasets/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-02-03.wav
sad,./datasets/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-01-03.wav
sad,./datasets/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-02-03.wav
sad,./datasets/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-01-03.wav
sad,./datasets/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-02-03.wav
sad,./datasets/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-01-03.wav
sad,./datasets/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-02-03.wav
angry,./datasets/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-01-03.wav
angry,./datasets/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-02-03.wav
angry,./datasets/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-01-03.wav
angry,./datasets/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-02-03.wav
angry,./datasets/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-01-03.wav
angry,./datasets/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-02-03.wav
angry,./datasets/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-01-03.wav
angry,./datasets/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-02-03.wav
fear,./datasets/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-01-03.wav
fear,./datasets/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-02-03.wav
fear,./datasets/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-01-03.wav
fear,./datasets/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-02-03.wav
fear,./datasets/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-01-03.wav
fear,./datasets/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-02-03.wav
fear,./datasets/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-01-03.wav
fear,./datasets/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-02-03.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-01-03.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-02-03.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-01-03.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-02-03.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-01-03.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-02-03.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-01-03.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-02-03.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-01-03.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-02-03.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-01-03.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-02-03.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-01-03.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-02-03.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-01-03.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-02-03.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_04/03-01-01-01-01-01-04.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_04/03-01-01-01-01-02-04.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_04/03-01-01-01-02-01-04.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_04/03-01-01-01-02-02-04.wav
calm,./datasets/audio_speech_actors_01-24/Actor_04/03-01-02-01-01-01-04.wav
calm,./datasets/audio_speech_actors_01-24/Actor_04/03-01-02-01-01-02-04.wav
calm,./datasets/audio_speech_actors_01-24/Actor_04/03-01-02-01-02-01-04.wav
calm,./datasets/audio_speech_actors_01-24/Actor_04/03-01-02-01-02-02-04.wav
calm,./datasets/audio_speech_actors_01-24/Actor_04/03-01-02-02-01-01-04.wav
calm,./datasets/audio_speech_actors_01-24/Actor_04/03-01-02-02-01-02-04.wav
calm,./datasets/audio_speech_actors_01-24/Actor_04/03-01-02-02-02-01-04.wav
calm,./datasets/audio_speech_actors_01-24/Actor_04/03-01-02-02-02-02-04.wav
happy,./datasets/audio_speech_actors_01-24/Actor_04/03-01-03-01-01-01-04.wav
happy,./datasets/audio_speech_actors_01-24/Actor_04/03-01-03-01-01-02-04.wav
happy,./datasets/audio_speech_actors_01-24/Actor_04/03-01-03-01-02-01-04.wav
happy,./datasets/audio_speech_actors_01-24/Actor_04/03-01-03-01-02-02-04.wav
happy,./datasets/audio_speech_actors_01-24/Actor_04/03-01-03-02-01-01-04.wav
happy,./datasets/audio_speech_actors_01-24/Actor_04/03-01-03-02-01-02-04.wav
happy,./datasets/audio_speech_actors_01-24/Actor_04/03-01-03-02-02-01-04.wav
happy,./datasets/audio_speech_actors_01-24/Actor_04/03-01-03-02-02-02-04.wav
sad,./datasets/audio_speech_actors_01-24/Actor_04/03-01-04-01-01-01-04.wav
sad,./datasets/audio_speech_actors_01-24/Actor_04/03-01-04-01-01-02-04.wav
sad,./datasets/audio_speech_actors_01-24/Actor_04/03-01-04-01-02-01-04.wav
sad,./datasets/audio_speech_actors_01-24/Actor_04/03-01-04-01-02-02-04.wav
sad,./datasets/audio_speech_actors_01-24/Actor_04/03-01-04-02-01-01-04.wav
sad,./datasets/audio_speech_actors_01-24/Actor_04/03-01-04-02-01-02-04.wav
sad,./datasets/audio_speech_actors_01-24/Actor_04/03-01-04-02-02-01-04.wav
sad,./datasets/audio_speech_actors_01-24/Actor_04/03-01-04-02-02-02-04.wav
angry,./datasets/audio_speech_actors_01-24/Actor_04/03-01-05-01-01-01-04.wav
angry,./datasets/audio_speech_actors_01-24/Actor_04/03-01-05-01-01-02-04.wav
angry,./datasets/audio_speech_actors_01-24/Actor_04/03-01-05-01-02-01-04.wav
angry,./datasets/audio_speech_actors_01-24/Actor_04/03-01-05-01-02-02-04.wav
angry,./datasets/audio_speech_actors_01-24/Actor_04/03-01-05-02-01-01-04.wav
angry,./datasets/audio_speech_actors_01-24/Actor_04/03-01-05-02-01-02-04.wav
angry,./datasets/audio_speech_actors_01-24/Actor_04/03-01-05-02-02-01-04.wav
angry,./datasets/audio_speech_actors_01-24/Actor_04/03-01-05-02-02-02-04.wav
fear,./datasets/audio_speech_actors_01-24/Actor_04/03-01-06-01-01-01-04.wav
fear,./datasets/audio_speech_actors_01-24/Actor_04/03-01-06-01-01-02-04.wav
fear,./datasets/audio_speech_actors_01-24/Actor_04/03-01-06-01-02-01-04.wav
fear,./datasets/audio_speech_actors_01-24/Actor_04/03-01-06-01-02-02-04.wav
fear,./datasets/audio_speech_actors_01-24/Actor_04/03-01-06-02-01-01-04.wav
fear,./datasets/audio_speech_actors_01-24/Actor_04/03-01-06-02-01-02-04.wav
fear,./datasets/audio_speech_actors_01-24/Actor_04/03-01-06-02-02-01-04.wav
fear,./datasets/audio_speech_actors_01-24/Actor_04/03-01-06-02-02-02-04.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_04/03-01-07-01-01-01-04.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_04/03-01-07-01-01-02-04.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_04/03-01-07-01-02-01-04.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_04/03-01-07-01-02-02-04.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_04/03-01-07-02-01-01-04.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_04/03-01-07-02-01-02-04.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_04/03-01-07-02-02-01-04.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_04/03-01-07-02-02-02-04.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_04/03-01-08-01-01-01-04.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_04/03-01-08-01-01-02-04.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_04/03-01-08-01-02-01-04.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_04/03-01-08-01-02-02-04.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_04/03-01-08-02-01-01-04.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_04/03-01-08-02-01-02-04.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_04/03-01-08-02-02-01-04.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_04/03-01-08-02-02-02-04.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_05/03-01-01-01-01-01-05.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_05/03-01-01-01-01-02-05.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_05/03-01-01-01-02-01-05.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_05/03-01-01-01-02-02-05.wav
calm,./datasets/audio_speech_actors_01-24/Actor_05/03-01-02-01-01-01-05.wav
calm,./datasets/audio_speech_actors_01-24/Actor_05/03-01-02-01-01-02-05.wav
calm,./datasets/audio_speech_actors_01-24/Actor_05/03-01-02-01-02-01-05.wav
calm,./datasets/audio_speech_actors_01-24/Actor_05/03-01-02-01-02-02-05.wav
calm,./datasets/audio_speech_actors_01-24/Actor_05/03-01-02-02-01-01-05.wav
calm,./datasets/audio_speech_actors_01-24/Actor_05/03-01-02-02-01-02-05.wav
calm,./datasets/audio_speech_actors_01-24/Actor_05/03-01-02-02-02-01-05.wav
calm,./datasets/audio_speech_actors_01-24/Actor_05/03-01-02-02-02-02-05.wav
happy,./datasets/audio_speech_actors_01-24/Actor_05/03-01-03-01-01-01-05.wav
happy,./datasets/audio_speech_actors_01-24/Actor_05/03-01-03-01-01-02-05.wav
happy,./datasets/audio_speech_actors_01-24/Actor_05/03-01-03-01-02-01-05.wav
happy,./datasets/audio_speech_actors_01-24/Actor_05/03-01-03-01-02-02-05.wav
happy,./datasets/audio_speech_actors_01-24/Actor_05/03-01-03-02-01-01-05.wav
happy,./datasets/audio_speech_actors_01-24/Actor_05/03-01-03-02-01-02-05.wav
happy,./datasets/audio_speech_actors_01-24/Actor_05/03-01-03-02-02-01-05.wav
happy,./datasets/audio_speech_actors_01-24/Actor_05/03-01-03-02-02-02-05.wav
sad,./datasets/audio_speech_actors_01-24/Actor_05/03-01-04-01-01-01-05.wav
sad,./datasets/audio_speech_actors_01-24/Actor_05/03-01-04-01-01-02-05.wav
sad,./datasets/audio_speech_actors_01-24/Actor_05/03-01-04-01-02-01-05.wav
sad,./datasets/audio_speech_actors_01-24/Actor_05/03-01-04-01-02-02-05.wav
sad,./datasets/audio_speech_actors_01-24/Actor_05/03-01-04-02-01-01-05.wav
sad,./datasets/audio_speech_actors_01-24/Actor_05/03-01-04-02-01-02-05.wav
sad,./datasets/audio_speech_actors_01-24/Actor_05/03-01-04-02-02-01-05.wav
sad,./datasets/audio_speech_actors_01-24/Actor_05/03-01-04-02-02-02-05.wav
angry,./datasets/audio_speech_actors_01-24/Actor_05/03-01-05-01-01-01-05.wav
angry,./datasets/audio_speech_actors_01-24/Actor_05/03-01-05-01-01-02-05.wav
angry,./datasets/audio_speech_actors_01-24/Actor_05/03-01-05-01-02-01-05.wav
angry,./datasets/audio_speech_actors_01-24/Actor_05/03-01-05-01-02-02-05.wav
angry,./datasets/audio_speech_actors_01-24/Actor_05/03-01-05-02-01-01-05.wav
angry,./datasets/audio_speech_actors_01-24/Actor_05/03-01-05-02-01-02-05.wav
angry,./datasets/audio_speech_actors_01-24/Actor_05/03-01-05-02-02-01-05.wav
angry,./datasets/audio_speech_actors_01-24/Actor_05/03-01-05-02-02-02-05.wav
fear,./datasets/audio_speech_actors_01-24/Actor_05/03-01-06-01-01-01-05.wav
fear,./datasets/audio_speech_actors_01-24/Actor_05/03-01-06-01-01-02-05.wav
fear,./datasets/audio_speech_actors_01-24/Actor_05/03-01-06-01-02-01-05.wav
fear,./datasets/audio_speech_actors_01-24/Actor_05/03-01-06-01-02-02-05.wav
fear,./datasets/audio_speech_actors_01-24/Actor_05/03-01-06-02-01-01-05.wav
fear,./datasets/audio_speech_actors_01-24/Actor_05/03-01-06-02-01-02-05.wav
fear,./datasets/audio_speech_actors_01-24/Actor_05/03-01-06-02-02-01-05.wav
fear,./datasets/audio_speech_actors_01-24/Actor_05/03-01-06-02-02-02-05.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_05/03-01-07-01-01-01-05.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_05/03-01-07-01-01-02-05.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_05/03-01-07-01-02-01-05.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_05/03-01-07-01-02-02-05.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_05/03-01-07-02-01-01-05.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_05/03-01-07-02-01-02-05.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_05/03-01-07-02-02-01-05.wav
disgust,./datasets/audio_speech_actors_01-24/Actor_05/03-01-07-02-02-02-05.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_05/03-01-08-01-01-01-05.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_05/03-01-08-01-01-02-05.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_05/03-01-08-01-02-01-05.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_05/03-01-08-01-02-02-05.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_05/03-01-08-02-01-01-05.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_05/03-01-08-02-01-02-05.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_05/03-01-08-02-02-01-05.wav
surprise,./datasets/audio_speech_actors_01-24/Actor_05/03-01-08-02-02-02-05.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_06/03-01-01-01-01-01-06.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_06/03-01-01-01-01-02-06.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_06/03-01-01-01-02-01-06.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_06/03-01-01-01-02-02-06.wav
calm,./datasets/audio_speech_actors_01-24/Actor_06/03-01-02-01-01-01-06.wav
calm,./datasets/audio_speech_actors_01-24/Actor_06/03-01-02-01-01-02-06.wav
calm,./datasets/audio_speech_actors_01-24/Actor_06/03-01-02-01-02-01-06.wav
calm,./datasets/audio_speech_actors_01-24/Actor_06/03-01-02-01-02-02-06.wav
calm,./datasets/audio_speech_actors_01-24/Actor_06/03-01-02-02-01-01-06.wav
calm,./datasets/audio_speech_actors_01-24/Actor_06/03-01-02-02-01-02-06.wav
calm,./datasets/audio_speech_actors_01-24/Actor_06/03-01-02-02-02-01-06.wav
calm,./datasets/audio_speech_actors_01-24/Actor_06/03-01-02-02-02-02-06.wav
happy,./datasets/audio_speech_actors_01-24/Actor_06/03-01-03-01-01-01-06.wav
happy,./datasets/audio_speech_actors_01-24/Actor_06/03-01-03-01-01-02-06.wav
happy,./datasets/audio_speech_actors_01-24/Actor_06/03-01-03-01-02-01-06.wav
